docs/SCHOLESA_AUDIT_REPORT_TEMPLATE.md	inline	firebase.json
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] **CheckpointSubmission** - Track attempts/passes
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] **ShowcaseGallery** - Track submissions/views
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] **RecognitionFlow** - Track peer recognition
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] **ReflectionJournal** - Track reflections/ratings
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Create `/app/[locale]/(protected)/educator/analytics/page.tsx`
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Components:
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] ClassEngagementOverview (heatmap by student)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] SDTProfileChart (autonomy/competence/belonging per student)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] AtRiskStudents (low engagement alerts)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] TopPerformers (high SDT scores)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] WeeklyTrends (line charts)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] ExportCSV (download analytics)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Create `/app/[locale]/(protected)/learner/profile/page.tsx`
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Components:
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] LearningStyleCard (interests, preferred difficulty)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] SkillMasteryDashboard (skills proven, badges earned)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] RecognitionWall (peer props received)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] ReflectionTimeline (growth over time)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] GoalTracker (current goals + progress)
docs/IMPLEMENTATION_CHECKLIST.md	fence	Choose ONE option:
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Enable Firestore Vector Search in Firebase Console
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Create vector index on `vectorDocuments` collection
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Get OpenAI API key (for embeddings)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Implement `EmbeddingService.generateEmbedding()`:
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Implement `VectorStore.search()` using Firestore Vector Search
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Run `VectorIndexer.reindexAll()` to populate
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Set `useVectorSearch = true` in retrievalService.ts
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Test with sample queries
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Sign up for Pinecone (free tier or $70/month)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Create index (1536 dims, cosine similarity)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Install `@pinecone-database/pinecone`
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Implement VectorStore methods with Pinecone SDK
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Migrate existing rubrics/exemplars
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Set `useVectorSearch = true`
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Deploy Weaviate (Cloud Run / GKE / Weaviate Cloud)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Install `weaviate-ts-client`
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Define schema (VectorDocument class)
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Implement VectorStore methods
docs/IMPLEMENTATION_CHECKLIST.md	fence	- [ ] Migrate data
docs/IMPLEMENTATION_CHECKLIST.md	fence	Add rules for new collections:
docs/IMPLEMENTATION_CHECKLIST.md	fence	Add to `firestore.indexes.json`:
docs/IMPLEMENTATION_CHECKLIST.md	fence	Create background function to aggregate telemetry daily:
docs/IMPLEMENTATION_CHECKLIST.md	inline	npm run lint
docs/IMPLEMENTATION_CHECKLIST.md	inline	npm run build
docs/IMPLEMENTATION_CHECKLIST.md	inline	firebase deploy --only firestore:rules
docs/IMPLEMENTATION_CHECKLIST.md	inline	firebase deploy --only firestore:indexes
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	---
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	**File:** `src/lib/ai/vectorStore.ts`
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	**Changes:**
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Implemented OpenAI embeddings API integration (completed earlier)
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Added Firestore-based vector document storage
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Implemented in-memory cosine similarity search
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Added filtering by type, missionId, gradeBand
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Implemented `delete()` method for document removal
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Implemented `updateEmbedding()` for content changes
docs/REALTIME_ANALYTICS_COMPLETION.md	fence	- ✅ Added `cosineSimilarity()` utility method
